股票號碼,交易日期,開盤價,最高價,最低價,收盤價,調整收盤價,交易量
2308,2010-01-04,100.7,101.2,98.71,100.2,65.75,7370900
2308,2010-01-05,100.2,101.2,98.71,99.5,65.29,5633738
2308,2010-01-06,99.5,99.5,98.71,99.1,65.03,5994811
2308,2010-01-07,98.71,99.1,97.31,97.31,63.85,7341813
2308,2010-01-08,97.51,98.11,96.91,97.21,63.79,5487303
2308,2010-01-11,97.21,98.91,96.71,98.51,64.64,5543470
2308,2010-01-12,98.71,98.71,97.41,97.71,64.12,3398096
2308,2010-01-13,96.91,97.21,96.01,96.01,63.0,5293728
2308,2010-01-14,97.21,97.91,96.71,97.91,64.25,5322814
2308,2010-01-15,98.01,98.41,97.41,97.81,64.18,5242576
2308,2010-01-18,97.41,98.51,97.01,98.31,64.51,3175434
2308,2010-01-19,98.61,98.61,96.21,97.81,64.18,7128178
2308,2010-01-20,98.21,98.71,97.71,98.61,64.7,9221398
2308,2010-01-21,98.61,98.61,96.81,97.01,63.66,3234610
2308,2010-01-22,96.01,96.81,93.72,94.32,61.89,6904514
2308,2010-01-25,93.92,94.82,93.02,94.22,61.83,5314791
2308,2010-01-26,94.42,95.02,91.73,91.73,60.19,11450019
2308,2010-01-27,92.13,94.22,91.73,93.22,61.17,10048856
2308,2010-01-28,93.62,96.91,93.42,94.32,61.89,11705779
2308,2010-01-29,94.32,96.91,92.52,96.71,63.46,9522292
2308,2010-02-01,96.71,96.71,94.22,94.72,62.15,6187383
2308,2010-02-02,94.92,95.52,93.02,93.42,61.3,5386002
2308,2010-02-03,93.42,95.22,93.12,95.22,62.48,5119209
2308,2010-02-04,95.32,95.71,94.62,94.92,62.28,6650760
2308,2010-02-05,92.82,93.72,90.03,90.23,59.21,9291606
2308,2010-02-08,93.22,94.62,91.73,92.03,60.39,8427037
2308,2010-02-09,92.03,94.32,92.03,93.42,61.3,4005902
2308,2010-02-10,94.52,95.71,93.82,95.32,62.55,4872476
2308,2010-02-22,97.41,98.01,94.72,95.42,62.61,9200335
2308,2010-02-23,95.02,95.42,93.82,94.22,61.83,5119209
2308,2010-02-24,93.22,94.02,93.22,93.52,61.37,5568544
2308,2010-02-25,94.72,95.12,93.72,93.92,61.63,5458217
2308,2010-02-26,93.92,94.52,92.72,93.22,61.17,2748165
2308,2010-03-01,96.21,96.21,94.22,94.22,61.83,5062040
2308,2010-03-02,96.41,96.41,94.72,95.91,62.94,6854365
2308,2010-03-03,96.71,96.71,94.72,95.71,62.81,4446210
2308,2010-03-04,97.51,97.51,96.11,97.51,63.99,9426006
2308,2010-03-05,97.71,97.71,95.81,96.41,63.27,5902537
2308,2010-03-08,96.71,97.01,95.12,95.52,62.68,7684832
2308,2010-03-09,95.62,96.11,94.92,95.42,62.61,4901563
2308,2010-03-10,95.71,96.11,95.22,95.22,62.48,3954750
2308,2010-03-11,95.42,95.91,94.52,94.52,62.02,6035933
2308,2010-03-12,95.71,96.81,95.22,96.71,63.46,6985755
2308,2010-03-15,96.51,96.71,95.22,95.22,62.48,4727044
2308,2010-03-16,95.12,96.21,95.02,95.81,62.87,4720023
2308,2010-03-17,96.71,97.71,96.21,97.71,64.12,9673742
2308,2010-03-18,98.21,99.2,98.11,98.41,64.57,18593243
2308,2010-03-19,98.71,100.7,98.41,100.2,65.75,16164025
2308,2010-03-22,99.7,101.7,98.91,99.7,65.42,8939560
2308,2010-03-23,100.7,102.2,99.7,102.2,67.06,10234407
2308,2010-03-24,102.69,103.19,100.2,100.7,66.08,10400902
2308,2010-03-25,101.7,101.7,99.3,99.7,65.42,7749023
2308,2010-03-26,99.7,100.2,98.51,99.7,65.42,7751029
2308,2010-03-29,100.7,101.2,99.7,100.7,66.08,6921564
2308,2010-03-30,101.2,101.2,99.7,101.2,66.41,5463232
2308,2010-03-31,101.2,101.2,99.7,100.2,65.75,8906462
2308,2010-04-01,100.7,101.2,99.7,99.7,65.42,12888293
2308,2010-04-02,100.7,100.7,98.71,99.1,65.03,5507363
2308,2010-04-06,99.7,100.2,99.3,99.4,65.23,5898525
2308,2010-04-07,99.7,100.7,99.4,99.4,65.23,5001861
2308,2010-04-08,99.2,100.7,98.71,99.4,65.23,7558457
2308,2010-04-09,99.7,101.2,99.6,101.2,66.41,5482288
2308,2010-04-12,101.7,102.69,101.2,102.2,67.06,7560463
2308,2010-04-13,101.7,104.19,101.2,103.19,67.71,9758995
2308,2010-04-14,104.19,104.19,102.2,103.19,67.71,4350927
2308,2010-04-15,103.69,104.69,101.2,102.69,67.39,11631559
2308,2010-04-16,102.69,102.69,101.2,102.2,67.06,5358922
2308,2010-04-19,100.2,102.69,100.2,100.2,65.75,7789142
2308,2010-04-20,101.7,103.69,100.2,103.69,68.04,5301752
2308,2010-04-21,103.69,103.69,102.2,102.69,67.39,5186409
2308,2010-04-22,102.2,102.69,99.7,101.7,66.73,4821324
2308,2010-04-23,103.19,103.19,99.7,100.7,66.08,7318745
2308,2010-04-26,100.7,102.69,100.7,102.69,67.39,6176350
2308,2010-04-27,103.19,104.19,101.7,104.19,68.37,4652824
2308,2010-04-28,100.7,104.69,100.7,104.19,68.37,5863421
2308,2010-04-29,104.19,104.69,103.19,104.19,68.37,3715037
2308,2010-04-30,104.19,104.69,103.19,104.19,68.37,7729966
2308,2010-05-03,102.69,103.19,101.7,102.69,67.39,3967788
2308,2010-05-04,102.69,103.19,100.2,100.7,66.08,4248623
2308,2010-05-05,98.71,98.71,97.71,97.71,64.12,7579519
2308,2010-05-06,97.71,97.91,96.01,96.71,63.46,7835279
2308,2010-05-07,95.71,98.81,95.22,98.21,64.44,5643768
2308,2010-05-10,96.71,98.41,96.11,96.91,63.59,7704892
2308,2010-05-11,97.71,101.7,97.41,99.7,65.42,15003577
2308,2010-05-12,100.7,100.7,98.81,99.2,65.1,4354939
2308,2010-05-13,99.7,101.2,99.7,100.2,65.75,3479337
2308,2010-05-14,100.2,101.7,99.7,101.2,66.41,3893568
2308,2010-05-17,100.2,101.2,99.7,100.2,65.75,4972774
2308,2010-05-18,100.7,101.2,99.7,100.7,66.08,3522465
2308,2010-05-19,99.5,100.2,99.2,99.7,65.42,6168327
2308,2010-05-20,99.6,100.2,99.4,99.7,65.42,3457272
2308,2010-05-21,96.81,98.21,96.71,97.71,64.12,5378981
2308,2010-05-24,97.81,99.6,97.71,98.91,64.9,2322901
2308,2010-05-25,98.41,98.61,97.71,98.31,64.51,4462258
2308,2010-05-26,98.31,100.2,98.31,100.2,65.75,5587601
2308,2010-05-27,100.2,100.7,99.1,99.4,65.23,3779228
2308,2010-05-28,101.2,101.2,99.2,99.7,65.42,5446181
2308,2010-05-31,99.7,100.7,99.5,100.2,65.75,4741086
2308,2010-06-01,99.7,100.2,98.41,100.2,65.75,4580609
2308,2010-06-02,99.7,100.2,96.21,98.01,64.31,6923570
2308,2010-06-03,98.91,100.7,98.61,99.7,65.42,6703918
2308,2010-06-04,99.7,100.7,99.6,99.7,65.42,5126230
2308,2010-06-07,97.31,97.81,96.91,96.91,63.59,7075020
2308,2010-06-08,96.91,97.01,92.13,92.62,60.78,11041806
2308,2010-06-09,93.22,94.12,92.62,92.72,60.84,7336798
2308,2010-06-10,94.32,94.32,93.22,94.02,61.7,1979882
2308,2010-06-11,94.92,96.51,94.72,96.31,63.2,5294731
2308,2010-06-14,97.41,98.71,97.41,98.21,64.44,5915576
2308,2010-06-15,98.21,100.7,98.11,100.7,66.08,9235439
2308,2010-06-17,101.2,102.69,99.7,102.69,67.39,8632648
2308,2010-06-18,103.19,104.19,102.2,104.19,68.37,7570493
2308,2010-06-21,104.69,105.69,104.19,104.69,68.7,5361931
2308,2010-06-22,104.69,107.18,104.19,106.68,70.0,6388982
2308,2010-06-23,106.68,107.18,105.69,106.68,70.0,4052039
2308,2010-06-24,106.68,106.68,105.19,105.69,69.35,2311868
2308,2010-06-25,104.69,105.69,103.19,103.69,68.04,4044015
2308,2010-06-28,104.69,105.69,103.19,104.69,68.7,2748165
2308,2010-06-29,105.69,106.68,105.69,105.69,69.35,4366974
2308,2010-06-30,103.69,104.19,102.69,103.19,67.71,5189418
2308,2010-07-01,103.19,104.19,102.69,103.69,68.04,1117319
2308,2010-07-02,105.69,107.68,104.19,107.18,70.33,4655833
2308,2010-07-05,107.68,110.67,105.19,110.67,72.62,7384941
2308,2010-07-06,108.68,111.67,108.68,110.67,72.62,7505299
2308,2010-07-07,109.67,111.17,109.67,111.17,72.95,5355913
2308,2010-07-08,111.67,114.16,111.67,114.16,74.91,5537452
2308,2010-07-09,114.16,118.65,112.66,118.65,77.86,8167266
2308,2010-07-12,117.65,118.15,113.66,113.66,74.58,10925461
2308,2010-07-13,113.16,114.66,112.17,114.66,75.24,12868233
2308,2010-07-14,112.66,113.66,111.67,112.17,76.39,8835250
2308,2010-07-15,110.67,112.66,109.17,110.67,75.37,7771089
2308,2010-07-16,110.67,111.17,107.68,107.68,73.34,9227416
2308,2010-07-19,106.68,112.17,106.68,111.67,76.05,8676779
2308,2010-07-20,111.67,116.15,111.17,115.16,78.43,7496272
2308,2010-07-21,114.66,115.16,111.67,112.66,76.73,4701970
2308,2010-07-22,111.17,113.16,107.18,107.68,73.34,10943514
2308,2010-07-23,109.67,110.67,108.18,108.18,73.68,7251545
2308,2010-07-26,108.68,111.67,108.68,110.67,75.37,3335911
2308,2010-07-27,110.67,112.66,110.67,111.67,76.05,5260630
2308,2010-07-28,112.66,113.66,111.67,113.16,77.07,5330838
2308,2010-07-29,105.69,112.66,105.69,112.17,76.39,10890356
2308,2010-07-30,111.67,112.17,109.67,110.17,75.03,3927669
2308,2010-08-02,111.67,113.66,111.67,113.16,77.07,5081096
2308,2010-08-03,113.16,113.66,111.67,112.17,76.39,4459249
2308,2010-08-04,112.17,112.66,111.67,112.66,76.73,4596657
2308,2010-08-05,112.66,113.66,110.17,112.66,76.73,4237590
2308,2010-08-06,112.66,112.66,108.68,109.17,74.35,7065994
2308,2010-08-09,108.68,111.17,108.68,110.17,75.03,2602733
2308,2010-08-10,110.67,111.67,110.17,111.17,75.71,5189418
2308,2010-08-11,110.67,111.67,108.18,111.17,75.71,4968762
2308,2010-08-12,109.17,110.67,109.17,109.67,74.69,3428185
2308,2010-08-13,108.68,110.17,107.68,109.67,74.69,8458130
2308,2010-08-16,109.67,110.67,108.18,109.67,74.69,3745127
2308,2010-08-17,110.67,110.67,108.18,108.68,74.02,4066080
2308,2010-08-18,109.67,113.16,109.17,113.16,77.07,8907465
2308,2010-08-19,113.66,118.15,113.16,117.65,80.13,12190218
2308,2010-08-20,117.65,117.65,115.66,116.15,79.11,4011920
2308,2010-08-23,116.65,119.64,115.66,117.15,79.79,5580580
2308,2010-08-24,117.65,119.64,116.15,117.15,79.79,5824304
2308,2010-08-25,116.15,116.15,111.67,111.67,76.05,6407036
2308,2010-08-26,111.67,114.16,111.17,112.17,76.39,5781176
2308,2010-08-27,114.16,119.64,113.16,117.65,80.13,10161190
2308,2010-08-30,119.64,120.64,116.15,116.65,79.45,9470137
2308,2010-08-31,115.66,121.14,115.16,121.14,82.5,8990712
2308,2010-09-01,121.14,122.63,119.64,121.14,82.5,8830235
2308,2010-09-02,121.64,122.63,120.64,122.14,83.18,8353820
2308,2010-09-03,122.14,122.63,120.64,121.64,82.84,4830351
2308,2010-09-06,121.64,122.63,120.14,120.64,82.16,2566625
2308,2010-09-07,120.64,122.14,120.14,120.64,82.16,4575594
2308,2010-09-08,120.64,125.63,120.64,123.13,83.86,7652737
2308,2010-09-09,124.13,124.13,120.64,121.14,82.5,3912624
2308,2010-09-10,122.63,123.13,120.64,121.64,82.84,2795305
2308,2010-09-13,122.14,124.63,121.14,124.63,84.88,6595596
2308,2010-09-14,124.63,124.63,122.63,123.63,84.2,3247649
2308,2010-09-15,123.13,125.63,121.64,125.63,85.56,5051007
2308,2010-09-16,125.63,127.12,124.13,125.63,85.56,3529486
2308,2010-09-17,126.12,127.12,124.63,125.63,85.56,4289745
2308,2010-09-20,125.63,127.12,125.13,127.12,86.58,2535533
2308,2010-09-21,127.62,128.12,126.62,128.12,87.26,2547569
2308,2010-09-23,127.62,129.61,126.62,129.61,88.27,5288713
2308,2010-09-24,129.12,129.61,127.62,129.61,88.27,4018940
2308,2010-09-27,129.61,129.61,127.12,128.12,87.26,3790261
2308,2010-09-28,128.12,130.61,128.12,130.11,88.61,4719020
2308,2010-09-29,130.11,131.11,128.62,129.12,87.94,5194433
2308,2010-09-30,128.12,130.11,127.62,130.11,88.61,3864481
2308,2010-10-01,130.61,131.11,129.61,130.61,88.95,2049088
2308,2010-10-04,130.61,131.61,130.11,131.11,89.29,2434232
2308,2010-10-05,131.61,131.61,129.61,131.11,89.29,1805364
2308,2010-10-06,132.11,132.6,127.12,128.12,87.26,4315822
2308,2010-10-07,129.61,129.61,126.62,128.62,87.6,3872505
2308,2010-10-08,128.62,129.12,127.62,128.12,87.26,1884599
2308,2010-10-11,127.62,128.12,126.62,128.12,87.26,2831412
2308,2010-10-12,128.62,128.62,125.63,128.12,87.26,4434174
2308,2010-10-13,128.62,128.62,126.12,126.62,86.24,5665834
2308,2010-10-14,127.62,129.61,127.12,128.62,87.6,3018969
2308,2010-10-15,128.62,130.61,128.62,129.61,88.27,3867490
2308,2010-10-18,129.61,129.61,126.62,127.62,86.92,1923715
2308,2010-10-19,127.62,127.62,122.63,123.13,83.86,7975696
2308,2010-10-20,122.63,127.12,121.64,127.12,86.58,5471255
2308,2010-10-21,126.62,126.62,123.63,125.13,85.22,7926550
2308,2010-10-22,124.63,126.12,124.13,125.63,85.56,4693946
2308,2010-10-25,127.12,130.61,126.12,129.61,88.27,3380042
2308,2010-10-26,129.61,129.61,126.12,127.12,86.58,4129268
2308,2010-10-27,125.13,126.12,124.13,125.13,85.22,4009914
2308,2010-10-28,126.62,128.12,124.63,126.62,86.24,3704005
2308,2010-10-29,127.12,127.12,125.13,126.12,85.9,3516447
2308,2010-11-01,128.62,129.12,127.62,128.62,87.6,3279744
2308,2010-11-02,127.62,128.62,127.12,128.12,87.26,1310894
2308,2010-11-03,127.12,130.61,127.12,129.61,88.27,5480282
2308,2010-11-04,129.61,129.61,128.12,129.61,88.27,2586685
2308,2010-11-05,130.61,131.11,129.12,130.61,88.95,9565420
2308,2010-11-08,131.61,131.61,130.11,131.11,89.29,4143310
2308,2010-11-09,130.61,131.11,127.62,129.12,87.94,5318802
2308,2010-11-10,129.61,130.61,128.62,130.61,88.95,4997849
2308,2010-11-11,129.61,130.61,129.12,129.61,88.27,4066080
2308,2010-11-12,129.61,130.11,128.12,129.61,88.27,5002864
2308,2010-11-15,129.12,129.61,128.12,129.61,88.27,1532553
2308,2010-11-16,129.12,130.61,128.62,130.61,88.95,4713003
2308,2010-11-17,129.61,130.61,128.12,129.61,88.27,3162395
2308,2010-11-18,129.61,130.61,129.12,130.61,88.95,2332931
2308,2010-11-19,130.61,132.6,129.61,132.11,89.97,4416120
2308,2010-11-22,132.6,135.6,131.61,134.6,91.67,4476299
2308,2010-11-23,134.6,134.6,130.11,131.11,89.29,6639727
2308,2010-11-24,130.61,132.6,129.61,131.61,89.63,3790261
2308,2010-11-25,131.11,133.1,131.11,132.6,90.31,3854452
2308,2010-11-26,134.1,137.59,133.6,136.09,92.69,7932568
2308,2010-11-29,137.59,137.59,135.1,136.09,92.69,3500400
2308,2010-11-30,137.09,137.59,134.6,135.1,92.01,5971742
2308,2010-12-01,136.59,140.58,136.09,140.58,95.74,5503351
2308,2010-12-02,140.58,143.07,139.09,142.08,96.76,3848434
2308,2010-12-03,142.08,142.58,137.59,140.08,95.4,4993837
2308,2010-12-06,138.59,139.09,136.59,137.59,93.71,3748136
2308,2010-12-07,138.59,138.59,136.59,138.59,94.39,2621789
2308,2010-12-08,139.58,140.58,138.09,140.08,95.4,2358005
2308,2010-12-09,140.58,141.58,137.59,138.59,94.39,7261575
2308,2010-12-10,137.59,138.09,136.59,137.59,93.71,3026993
2308,2010-12-13,137.59,137.59,135.1,136.09,92.69,4291751
2308,2010-12-14,137.59,137.59,134.6,136.09,92.69,2617777
2308,2010-12-15,136.09,138.09,134.6,138.09,94.05,3635802
2308,2010-12-16,138.09,138.09,136.59,137.09,93.37,2361014
2308,2010-12-17,137.09,137.59,135.1,135.1,92.01,3469307
2308,2010-12-20,136.09,136.59,134.1,134.6,91.67,3161392
